time_hours,temperature_k,pressure_pa,ice_mass_kg,solar_flux_wm2,orbital_angle_rad
1.0,210.55668955627021,610.0,4994945577702673.0,713.2462140452498,0.0003810762558939584
2.0,211.03997087636344,610.0,4989840980860302.0,713.2461875021103,0.0007621525117879168
3.0,211.40752413357242,610.0,4984695061113093.0,713.2461432635502,0.0011432287676818751
4.0,211.62454606449356,610.0,4979520608111900.0,713.2460813295772,0.0015243050235758337
5.0,211.6659965559979,610.0,4974333504656821.0,713.2460017002023,0.0019053812794697922
6.0,211.5182125151153,610.0,4969151615464670.0,713.2459043754408,0.0022864575353637507
7.0,211.33920851137705,610.0,4963985714079226.0,713.2457893553101,0.0026675337912577092
8.0,211.16080892462202,610.0,4958837255647379.0,713.2456566398304,0.0030486100471516678
9.0,210.9830101923873,610.0,4953706137359518.0,713.2455062290278,0.0034296863030456263
10.0,210.80580878213058,610.0,4948592257269515.0,713.245338122928,0.003810762558939585
11.0,210.62920119090433,610.0,4943495514285320.0,713.2451523215622,0.004191838814833543
12.0,210.45318394503423,610.0,4938415808159685.0,713.2449488249642,0.004572915070727501
13.0,210.27775359980197,610.0,4933353039481006.0,713.2447276331717,0.0049539913266214595
14.0,210.1029067391323,610.0,4928307109664292.0,713.2444887462244,0.005335067582515418
15.0,209.92863997528406,610.0,4923277920942252.0,713.2442321641662,0.005716143838409376
16.0,209.75494994854554,610.0,4918265376356499.0,713.2439578870438,0.006097220094303334
17.0,209.5818333269337,610.0,4913269379748872.0,713.2436659149073,0.006478296350197292
18.0,209.40928680589738,610.0,4908289835752870.0,713.24335624781,0.00685937260609125
19.0,209.3342163542124,610.0,4903322051470692.0,713.2430288858084,0.007240448861985208
20.0,209.44498487861077,610.0,4898352567736680.0,713.2426838289617,0.007621525117879166
21.0,209.72273976998477,610.0,4893364608462931.0,713.2423210773337,0.008002601373773125
22.0,210.13788033080803,610.0,4888343577338031.0,713.2419406309901,0.008383677629667083
23.0,210.65196703868583,610.0,4883277940726538.0,713.2415424900003,0.008764753885561041
24.0,211.2202038620604,610.0,4878159980077536.0,713.241126654437,0.009145830141455
24.65979,211.601098566904,610.0,4874752722241696.0,713.2408426015502,0.009397260444331274
